client_id,product,money,ad_key,mouth,year
1,storage_ms,1000,,10,2020
2,storage_ms,2890,,10,2020
3,storage_ms,1000,,10,2020
4,storage_ms,1000,,10,2020
5,storage_ms,2890,,10,2020
6,storage_ms,2890,,10,2020
1,storage_ms,1000,,11,2020
2,storage_ms,2890,,11,2020
3,storage_ms,1000,,11,2020
4,storage_ms,1000,,11,2020
5,storage_ms,2890,,11,2020
6,storage_ms,2890,,11,2020
1,storage_ms,1000,,1,2021
2,storage_ms,2890,,1,2021
3,storage_ms,1000,,1,2021
4,storage_ms,1000,,1,2021
5,storage_ms,2890,,1,2021
6,storage_ms,2890,,1,2021
1,storage_ms,1000,,2,2021
2,storage_ms,2890,,2,2021
3,storage_ms,1000,,2,2021
4,storage_ms,1000,,2,2021
5,storage_ms,2890,,2,2021
6,storage_ms,2890,,2,2021
1,storage_ms,1000,,3,2021
2,storage_ms,2890,,3,2021
3,storage_ms,1000,,3,2021
4,storage_ms,1000,,3,2021
5,storage_ms,2890,,3,2021
6,storage_ms,2890,,3,2021
7,storage_ms,1000,,3,2021
8,storage_ms,2890,current_clients,3,2021
9,storage_ms,1000,,3,2021
10,storage_ms,1000,,3,2021
11,storage_ms,2890,,3,2021
12,storage_ms,2890,,3,2021
13,storage_ms,2890,,3,2021
14,storage_ms,2890,,3,2021
15,storage_ms,1000,,3,2021
16,storage_ms,2890,,3,2021
17,storage_ms,2890,about_market,3,2021
18,storage_ms,2890,,3,2021
19,storage_ms,2890,,3,2021
20,storage_ms,2890,summer_sale,3,2021
21,storage_ms,2890,,3,2021
22,storage_ms,1000,current_clients,3,2021
23,storage_ms,2890,,3,2021
24,storage_ms,1000,,3,2021
25,storage_ms,1000,black_friday,3,2021
26,storage_ms,2890,about_storage,3,2021
27,storage_ms,2890,,3,2021
28,storage_ms,1000,,3,2021
29,storage_ms,1000,,3,2021
30,storage_ms,2890,,3,2021
31,storage_ms,2890,about_market,3,2021
32,storage_ms,1000,,3,2021
33,storage_ms,2890,black_friday,3,2021
34,storage_ms,1000,new_subs,3,2021
35,storage_ms,1000,,3,2021
36,storage_ms,2890,,3,2021
37,storage_ms,1000,,3,2021
2,storage_ms,2890,,4,2021
3,storage_ms,1000,,4,2021
4,storage_ms,1000,,4,2021
5,storage_ms,2890,,4,2021
6,storage_ms,2890,,4,2021
7,storage_ms,1000,,4,2021
8,storage_ms,2890,current_clients,4,2021
9,storage_ms,1000,,4,2021
10,storage_ms,1000,,4,2021
11,storage_ms,2890,,4,2021
12,storage_ms,2890,,4,2021
13,storage_ms,2890,,4,2021
14,storage_ms,2890,,4,2021
15,storage_ms,1000,,4,2021
16,storage_ms,2890,,4,2021
17,storage_ms,2890,about_market,4,2021
18,storage_ms,2890,,4,2021
19,storage_ms,2890,,4,2021
20,storage_ms,2890,summer_sale,4,2021
21,storage_ms,2890,,4,2021
22,storage_ms,1000,current_clients,4,2021
23,storage_ms,2890,,4,2021
24,storage_ms,1000,,4,2021
25,storage_ms,1000,black_friday,4,2021
26,storage_ms,2890,about_storage,4,2021
27,storage_ms,2890,,4,2021
28,storage_ms,1000,,4,2021
29,storage_ms,1000,,4,2021
30,storage_ms,2890,,4,2021
31,storage_ms,2890,about_market,4,2021
32,storage_ms,1000,,4,2021
33,storage_ms,2890,black_friday,4,2021
34,storage_ms,1000,new_subs,4,2021
35,storage_ms,1000,,4,2021
36,storage_ms,2890,,4,2021
37,storage_ms,1000,,4,2021
3,storage_ms,1000,,5,2021
4,storage_ms,1000,,5,2021
5,storage_ms,2890,,5,2021
6,storage_ms,2890,,5,2021
7,storage_ms,1000,,5,2021
8,storage_ms,2890,current_clients,5,2021
9,storage_ms,1000,,5,2021
10,storage_ms,1000,,5,2021
11,storage_ms,2890,,5,2021
12,storage_ms,2890,,5,2021
13,storage_ms,2890,,5,2021
14,storage_ms,2890,,5,2021
15,storage_ms,1000,,5,2021
16,storage_ms,2890,,5,2021
17,storage_ms,2890,about_market,5,2021
18,storage_ms,2890,,5,2021
19,storage_ms,2890,,5,2021
20,storage_ms,2890,summer_sale,5,2021
21,storage_ms,2890,,5,2021
22,storage_ms,1000,current_clients,5,2021
23,storage_ms,2890,,5,2021
24,storage_ms,1000,,5,2021
25,storage_ms,1000,black_friday,5,2021
26,storage_ms,2890,about_storage,5,2021
27,storage_ms,2890,,5,2021
28,storage_ms,1000,,5,2021
29,storage_ms,1000,,5,2021
30,storage_ms,2890,,5,2021
31,storage_ms,2890,about_market,5,2021
32,storage_ms,1000,,5,2021
33,storage_ms,2890,black_friday,5,2021
34,storage_ms,1000,new_subs,5,2021
35,storage_ms,1000,,5,2021
36,storage_ms,2890,,5,2021
37,storage_ms,1000,,5,2021
3,storage_ms,1000,,6,2021
4,storage_ms,1000,,6,2021
5,storage_ms,2890,,6,2021
6,storage_ms,2890,,6,2021
7,storage_ms,1000,,6,2021
8,storage_ms,2890,current_clients,6,2021
9,storage_ms,1000,,6,2021
10,storage_ms,1000,,6,2021
11,storage_ms,2890,,6,2021
12,storage_ms,2890,,6,2021
13,storage_ms,2890,,6,2021
14,storage_ms,2890,,6,2021
15,storage_ms,1000,,6,2021
16,storage_ms,2890,,6,2021
17,storage_ms,2890,about_market,6,2021
18,storage_ms,2890,,6,2021
19,storage_ms,2890,,6,2021
20,storage_ms,2890,summer_sale,6,2021
21,storage_ms,2890,,6,2021
22,storage_ms,1000,current_clients,6,2021
23,storage_ms,2890,,6,2021
24,storage_ms,1000,,6,2021
25,storage_ms,1000,black_friday,6,2021
26,storage_ms,2890,about_storage,6,2021
27,storage_ms,2890,,6,2021
28,storage_ms,1000,,6,2021
29,storage_ms,1000,,6,2021
30,storage_ms,2890,,6,2021
31,storage_ms,2890,about_market,6,2021
32,storage_ms,1000,,6,2021
33,storage_ms,2890,black_friday,6,2021
34,storage_ms,1000,new_subs,6,2021
35,storage_ms,1000,,6,2021
36,storage_ms,2890,,6,2021
37,storage_ms,1000,,6,2021
38,storage_ms,1000,,6,2021
39,storage_ms,1000,about_market,6,2021
40,storage_ms,2890,,6,2021
41,storage_ms,2890,,6,2021
42,storage_ms,1000,about_market,6,2021
43,storage_ms,2890,,6,2021
44,storage_ms,1000,,6,2021
